,City name (As per mail),Dispatch Centre (To be entered in Indecab)
,Thiruvalla,Thiruvalla
,Thiruvananthapuram,Thiruvananthapuram
,Trivandrum,Thiruvananthapuram
,Thrissur,Thrissur
,Tiruchirapally,Trichy
,Tirunelveli,Tirunelveli
,Tirupati,Tirupati
,Trichy,Trichy
,Tuticorin,Tuticorin
,Thoothukudi,Tuticorin
,Udaipur,Udaipur
,Udupi,Udupi
,Vadodara,Vadodara
,Baroda,Vadodara
,Valsad,Valsad
,Vapi,Vapi
,Varanasi,Varanasi
,Benares,Varanasi
,Vellore,Vellore
,Vijaywada,Vijaywada
,Vishakhapatnam,Vizag
,Whitefield -Bengaluru (Shell),NA
,Zirakpur,Zirakpur
,Chittorgarh  ,Chittorgarh  
,Kota ,Kota 
,Jamnagar,Jamnagar
,Kannur,Kannur
