Corporate,"Source of bookings (Mail, Portal or Direct)",Booker involved or direct ,Approval Reqd (Yes or No),Duty Type (G2G or P2P)
Thomas Cook Viacom18,Email,Quest2travel portal mail,No,P2P
MINT,Email,Bookers,No,G2G
NETWORK INTELLIGENCE,Email,Bookers,No,G2G
AKZO NOBEL,Email,Bookers,No,G2G
TRAFIGURA,Email,Bookers,No,G2G
SACE,Email,Bookers,No,G2G
GODREJ AND BOYCE,Email,Bookers,No,G2G
GILBARCO,Email,Bookers,No,G2G
GULF OIL,Email,Bookers,No,G2G
SHREE PLAN YOUR JOURNEY,Email,Bookers,No,G2G
HDB FINANCIAL,Email,Bookers,No,G2G
SMARSH,Email,Bookers,No,G2G
PETROMECH,Email,Bookers,No,G2G
KARKINOS HEALTHCARE,Email,Bookers,No,G2G
STANDARD,Email,Bookers,No,G2G
A T E ENTERPRISES,Email,Quest2travel portal mail,No,G2G
ALTUM,Email,,,G2G
HUHTAMAKI,Email,Quest2travel portal mail,No,G2G
NAVITAS,Email,Bookers,No,G2G
STT GLOBAL,Email,Bookers,No,G2G
ALVAREZ,Email,Bookers,No,G2G
GLOBALPAY,Email,Bookers,No,G2G
Institute of Chartered Accountants,Email,Bookers,No,G2G
